Landmark positions:
# Landmark    x [m]    y [m]    x std-dev. [m]    y std-dev. [m]
  1    -15.00000000   8.00000000   0.0002000    0.0002000
  2    -14.00000000   8.00000000   0.0002000    0.0002000
  3    -2.50000000   8.00000000    0.0002000    0.0002000
  4    0.00000000   8.00000000    0.0002000    0.0002000
  5    1.00000000   8.00000000    0.0002000    0.0002000
  6    15.00000000   8.00000000    0.0002000    0.0002000
  7    -15.00000000   6.00000000    0.0002000    0.0002000
  8    15.00000000   6.00000000    0.0002000    0.0002000
  9    -11.00000000   4.00000000    0.0002000    0.0002000
  10   -9.00000000   4.00000000    0.0002000    0.0002000
  11   -7.00000000   4.00000000    0.0002000    0.0002000
  12   -5.00000000   4.00000000    0.0002000    0.0002000
  13   -3.00000000   4.00000000    0.0002000    0.0002000
  14   -1.00000000   4.00000000    0.0002000    0.0002000
  15   2.00000000   4.00000000    0.0002000    0.0002000
  16   5.00000000   4.00000000    0.0002000    0.0002000
  17   7.00000000   4.00000000    0.0002000    0.0002000
  18   -15.00000000   0.00000000    0.0002000    0.0002000
  20   -13.00000000   -2.00000000   0.0002000    0.0002000
  21   0.00000000   -2.20000000   0.0002000    0.0002000
  22   3.00000000   -2.00000000   0.0002000    0.0002000
  23   -15.00000000   2.72925398   0.0002000    0.0002000
  24     -10.60546875   3.39983236   0.0002000    0.0002000
  25      -0.35156250   2.72925398   0.0002000    0.0002000
  26     -10.60546875   6.08214585   0.0002000    0.0002000
  27      14.29687500   2.72925398   0.0002000    0.0002000
  28     -15.00000000   7.42330260   0.0002000    0.0002000
  29      14.29687500   6.75272422   0.0002000    0.0002000
  30      14.29687500   8.76445935   0.0002000    0.0002000
  31      -9.14062500   9.43503772   0.0002000    0.0002000
