# Time [s]    Subject #    range [m]    bearing [rad]
0.000    6    16.912    0.493
0.000    8    16.063    0.383
0.000    27    14.457    0.190
0.000    29    15.721    0.444
0.100    6    16.824    0.496
0.100    8    15.970    0.385
0.100    27    14.359    0.191
0.100    29    15.631    0.447
0.200    6    16.736    0.498
0.200    8    15.877    0.388
0.200    27    14.260    0.193
0.200    29    15.541    0.450
0.300    6    16.648    0.501
0.300    8    15.785    0.390
0.300    27    14.162    0.194
0.300    29    15.451    0.452
0.400    6    16.560    0.504
0.400    8    15.692    0.392
0.400    27    14.064    0.195
0.400    29    15.361    0.455
0.500    6    16.473    0.507
0.500    8    15.600    0.395
0.500    27    13.966    0.197
0.500    29    15.271    0.458
0.600    6    16.386    0.510
0.600    8    15.508    0.397
0.600    27    13.868    0.198
0.600    29    15.181    0.461
0.700    6    16.298    0.513
0.700    8    15.416    0.400
0.700    27    13.770    0.200
0.700    29    15.092    0.464
0.800    6    16.211    0.516
0.800    8    15.324    0.402
0.800    27    13.672    0.201
0.800    29    15.003    0.467
0.900    6    16.125    0.519
0.900    8    15.232    0.405
0.900    27    13.574    0.202
0.900    29    14.913    0.470
1.000    6    16.038    0.522
1.000    8    15.140    0.407
1.000    27    13.476    0.204
1.000    29    14.824    0.473
1.100    8    15.048    0.410
1.100    27    13.378    0.205
1.100    29    14.735    0.476
1.200    8    14.956    0.413
1.200    27    13.280    0.207
1.200    29    14.646    0.479
1.300    8    14.865    0.415
1.300    27    13.182    0.209
1.300    29    14.558    0.482
1.400    8    14.773    0.418
1.400    27    13.085    0.210
1.400    29    14.469    0.486
1.500    8    14.682    0.421
1.500    27    12.987    0.212
1.500    29    14.381    0.489
1.600    8    14.591    0.424
1.600    27    12.889    0.213
1.600    29    14.293    0.492
1.700    8    14.500    0.427
1.700    27    12.791    0.215
1.700    29    14.205    0.495
1.800    8    14.409    0.429
1.800    27    12.694    0.217
1.800    29    14.117    0.499
1.900    8    14.318    0.432
1.900    27    12.596    0.218
1.900    29    14.029    0.502
2.000    8    14.227    0.435
2.000    27    12.499    0.220
2.000    29    13.941    0.506
2.100    8    14.136    0.438
2.100    27    12.401    0.222
2.100    29    13.854    0.509
2.200    8    14.046    0.441
2.200    27    12.303    0.224
2.200    29    13.767    0.513
2.300    8    13.956    0.444
2.300    27    12.206    0.226
2.300    29    13.680    0.516
2.400    8    13.865    0.448
2.400    27    12.108    0.227
2.400    29    13.593    0.520
2.500    8    13.775    0.451
2.500    27    12.011    0.229
2.500    29    13.506    0.524
2.600    8    13.685    0.454
2.600    27    11.914    0.231
2.700    8    13.596    0.457
2.700    27    11.816    0.233
2.800    8    13.506    0.460
2.800    27    11.719    0.235
2.900    8    13.416    0.464
2.900    27    11.622    0.237
3.000    8    13.327    0.467
3.000    27    11.525    0.239
3.100    8    13.238    0.470
3.100    27    11.428    0.241
3.200    8    13.149    0.474
3.200    27    11.330    0.243
3.300    8    13.060    0.477
3.300    27    11.233    0.245
3.400    8    12.971    0.481
3.400    27    11.136    0.248
3.500    8    12.883    0.484
3.500    27    11.040    0.250
3.600    8    12.794    0.488
3.600    27    10.943    0.252
3.700    8    12.706    0.492
3.700    27    10.846    0.254
3.800    8    12.618    0.496
3.800    27    10.749    0.257
3.900    8    12.530    0.499
3.900    27    10.652    0.259
4.000    8    12.442    0.503
4.000    27    10.556    0.262
4.100    8    12.355    0.507
4.100    27    10.459    0.264
4.200    8    12.267    0.511
4.200    27    10.363    0.267
4.300    8    12.180    0.515
4.300    27    10.266    0.269
4.400    8    12.093    0.519
4.400    27    10.170    0.272
4.500    8    12.007    0.523
4.500    27    10.074    0.274
4.600    27    9.977    0.277
4.700    27    9.881    0.280
4.800    27    9.785    0.283
4.900    27    9.689    0.286
5.000    27    9.593    0.288
5.100    27    9.497    0.291
5.200    27    9.402    0.295
5.300    27    9.306    0.298
5.400    27    9.211    0.301
5.500    27    9.115    0.304
5.600    27    9.020    0.307
5.700    27    8.924    0.311
5.800    27    8.829    0.314
5.900    27    8.734    0.318
6.000    27    8.639    0.321
6.100    27    8.544    0.325
6.200    27    8.450    0.329
6.300    27    8.355    0.333
6.400    27    8.261    0.337
6.500    27    8.166    0.341
6.600    27    8.072    0.345
6.700    27    7.978    0.349
6.800    27    7.884    0.353
6.900    27    7.791    0.358
7.000    27    7.697    0.362
7.100    27    7.604    0.367
7.200    27    7.510    0.372
7.300    27    7.417    0.377
7.400    27    7.324    0.382
7.500    27    7.232    0.387
7.600    27    7.139    0.392
7.700    27    7.047    0.398
7.800    27    6.955    0.403
7.900    27    6.863    0.409
8.000    27    6.771    0.415
8.100    27    6.680    0.421
8.200    27    6.589    0.427
8.300    27    6.498    0.433
8.400    27    6.407    0.440
8.500    27    6.317    0.447
8.600    27    6.227    0.454
8.700    27    6.137    0.461
8.800    27    6.048    0.468
8.900    27    5.959    0.476
9.000    27    5.870    0.484
9.100    27    5.782    0.492
9.200    27    5.694    0.500
9.300    27    5.606    0.508
9.400    27    5.519    0.517
